file_path,index,coord_x,coord_y,diameter
D:/jupyter-notebook/LiverCancer/Image_Original/grade3\Image3-08.jpg,0,35,1589,63
D:/jupyter-notebook/LiverCancer/Image_Original/grade3\Image3-08.jpg,1,76,3783,105
D:/jupyter-notebook/LiverCancer/Image_Original/grade3\Image3-08.jpg,2,49,3951,62
D:/jupyter-notebook/LiverCancer/Image_Original/grade3\Image3-08.jpg,3,55,428,75
D:/jupyter-notebook/LiverCancer/Image_Original/grade3\Image3-08.jpg,4,96,1899,84
D:/jupyter-notebook/LiverCancer/Image_Original/grade3\Image3-08.jpg,5,140,3259,146
D:/jupyter-notebook/LiverCancer/Image_Original/grade3\Image3-08.jpg,6,76,2378,74
D:/jupyter-notebook/LiverCancer/Image_Original/grade3\Image3-08.jpg,7,60,2045,57
D:/jupyter-notebook/LiverCancer/Image_Original/grade3\Image3-08.jpg,8,101,3595,73
D:/jupyter-notebook/LiverCancer/Image_Original/grade3\Image3-08.jpg,9,111,1369,78
D:/jupyter-notebook/LiverCancer/Image_Original/grade3\Image3-08.jpg,10,131,3093,95
D:/jupyter-notebook/LiverCancer/Image_Original/grade3\Image3-08.jpg,11,112,2489,76
D:/jupyter-notebook/LiverCancer/Image_Original/grade3\Image3-08.jpg,12,127,564,115
D:/jupyter-notebook/LiverCancer/Image_Original/grade3\Image3-08.jpg,13,128,163,100
D:/jupyter-notebook/LiverCancer/Image_Original/grade3\Image3-08.jpg,14,110,2192,71
D:/jupyter-notebook/LiverCancer/Image_Original/grade3\Image3-08.jpg,15,126,1988,71
D:/jupyter-notebook/LiverCancer/Image_Original/grade3\Image3-08.jpg,16,133,980,76
D:/jupyter-notebook/LiverCancer/Image_Original/grade3\Image3-08.jpg,17,175,1315,97
D:/jupyter-notebook/LiverCancer/Image_Original/grade3\Image3-08.jpg,18,166,3417,73
D:/jupyter-notebook/LiverCancer/Image_Original/grade3\Image3-08.jpg,19,189,403,86
D:/jupyter-notebook/LiverCancer/Image_Original/grade3\Image3-08.jpg,20,172,2756,74
D:/jupyter-notebook/LiverCancer/Image_Original/grade3\Image3-08.jpg,21,185,2087,78
D:/jupyter-notebook/LiverCancer/Image_Original/grade3\Image3-08.jpg,22,230,3549,136
D:/jupyter-notebook/LiverCancer/Image_Original/grade3\Image3-08.jpg,23,182,1442,69
