sample_path,grade_p_0,grade_p_1,grade_p_2,grade_p_3,grade_p_4,sample_label
D:/jupyter-notebook/LiverCancer/Image_Nuclei/images/grade4/Image4-26.jpg\grade_4_26_0_102_2899_102.jpg,2.575168e-08,3.3506906e-09,1.8927674e-08,2.1357556e-07,0.99999976,4
D:/jupyter-notebook/LiverCancer/Image_Nuclei/images/grade4/Image4-26.jpg\grade_4_26_100_1608_3123_147.jpg,1.2042796e-09,2.038927e-10,2.6304185e-09,1.9737259e-07,0.99999976,4
D:/jupyter-notebook/LiverCancer/Image_Nuclei/images/grade4/Image4-26.jpg\grade_4_26_101_1624_2126_187.jpg,5.39646e-10,3.7176353e-09,4.2145856e-09,8.3692845e-07,0.99999917,4
D:/jupyter-notebook/LiverCancer/Image_Nuclei/images/grade4/Image4-26.jpg\grade_4_26_102_1574_1073_95.jpg,1.3689847e-12,7.0220574e-12,8.3756294e-11,5.4036664e-09,1.0,4
D:/jupyter-notebook/LiverCancer/Image_Nuclei/images/grade4/Image4-26.jpg\grade_4_26_103_1541_3324_69.jpg,4.0309636e-10,3.2012396e-11,3.935987e-10,2.472447e-08,1.0,4
D:/jupyter-notebook/LiverCancer/Image_Nuclei/images/grade4/Image4-26.jpg\grade_4_26_104_1647_588_103.jpg,4.1806691e-10,2.1710973e-09,2.4233152e-08,6.742004e-07,0.9999993,4
D:/jupyter-notebook/LiverCancer/Image_Nuclei/images/grade4/Image4-26.jpg\grade_4_26_105_1630_3800_80.jpg,4.2122643e-09,4.791245e-09,5.9643592e-09,4.9716175e-07,0.9999995,4
D:/jupyter-notebook/LiverCancer/Image_Nuclei/images/grade4/Image4-26.jpg\grade_4_26_106_1636_243_62.jpg,1.3399704e-08,8.914013e-09,1.1282235e-07,4.2714345e-07,0.9999994,4
D:/jupyter-notebook/LiverCancer/Image_Nuclei/images/grade4/Image4-26.jpg\grade_4_26_107_1665_452_69.jpg,1.2035702e-09,2.758332e-10,2.8267158e-08,3.6758703e-08,0.9999999,4
D:/jupyter-notebook/LiverCancer/Image_Nuclei/images/grade4/Image4-26.jpg\grade_4_26_108_1687_2734_89.jpg,1.123641e-09,2.2079861e-07,1.034334e-06,1.0451096e-05,0.9999883,4
D:/jupyter-notebook/LiverCancer/Image_Nuclei/images/grade4/Image4-26.jpg\grade_4_26_109_1742_1433_174.jpg,1.2469056e-11,7.4931905e-10,1.0027591e-09,1.1055151e-07,0.9999999,4
D:/jupyter-notebook/LiverCancer/Image_Nuclei/images/grade4/Image4-26.jpg\grade_4_26_10_285_2563_99.jpg,3.3474917e-10,3.6168673e-09,1.1472565e-08,1.1807961e-06,0.9999988,4
D:/jupyter-notebook/LiverCancer/Image_Nuclei/images/grade4/Image4-26.jpg\grade_4_26_110_1724_1739_96.jpg,2.2859309e-10,4.3202808e-10,8.1349616e-10,2.0588404e-08,1.0,4
D:/jupyter-notebook/LiverCancer/Image_Nuclei/images/grade4/Image4-26.jpg\grade_4_26_111_1704_184_62.jpg,2.327789e-09,8.105898e-09,6.960153e-07,7.407307e-07,0.99999857,4
D:/jupyter-notebook/LiverCancer/Image_Nuclei/images/grade4/Image4-26.jpg\grade_4_26_112_1731_790_56.jpg,5.1766597e-06,8.512982e-07,3.249172e-07,1.6585987e-05,0.9999771,4
D:/jupyter-notebook/LiverCancer/Image_Nuclei/images/grade4/Image4-26.jpg\grade_4_26_113_1854_2503_156.jpg,2.3111878e-10,2.5407711e-09,1.974708e-10,1.9398946e-08,1.0,4
D:/jupyter-notebook/LiverCancer/Image_Nuclei/images/grade4/Image4-26.jpg\grade_4_26_114_1771_293_93.jpg,6.253148e-09,7.683523e-10,5.694357e-10,2.3997495e-07,0.99999976,4
D:/jupyter-notebook/LiverCancer/Image_Nuclei/images/grade4/Image4-26.jpg\grade_4_26_115_1793_3921_75.jpg,3.4249878e-10,1.3640341e-08,7.986388e-08,6.4406336e-06,0.99999344,4
D:/jupyter-notebook/LiverCancer/Image_Nuclei/images/grade4/Image4-26.jpg\grade_4_26_116_1825_759_91.jpg,3.6843158e-08,6.6943905e-08,1.4176811e-07,3.251342e-06,0.99999654,4
D:/jupyter-notebook/LiverCancer/Image_Nuclei/images/grade4/Image4-26.jpg\grade_4_26_117_1833_1394_83.jpg,1.11815295e-13,5.1328167e-11,1.4166757e-10,5.6303895e-10,1.0,4
